"product_category",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Home",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Beauty",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Home",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Health",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Home",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Home",Not Loyal
"Food",Not Loyal
"Home",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Clothing",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Home",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Beauty",Not Loyal
"Beauty",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Home",Not Loyal
"Home",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Beauty",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Electronics",Not Loyal
"Beauty",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Beauty",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Home",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Home",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Food",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Beauty",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Health",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Beauty",Not Loyal
"Beauty",Not Loyal
"Beauty",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Beauty",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Beauty",Not Loyal
"Home",Not Loyal
"Clothing",Not Loyal
"Health",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Electronics",Not Loyal
"Home",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Clothing",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Food",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Electronics",Not Loyal
"Clothing",Not Loyal
"Electronics",Not Loyal
"Health",Not Loyal
"Electronics",Not Loyal
"Books",Not Loyal
"Clothing",Not Loyal
"Beauty",Not Loyal
"Food",Not Loyal
"Books",Not Loyal
"Health",Not Loyal
"Beauty",Not Loyal
